Glossar - Rohzutaten,,,,,,,,,,,,,,
Kategorie,Name DE,Name EN,CO₂ / 1.6FU (ohne Flug) ,g CO2 / 100g (ohne Flug) ,CO2 Base Value [g] ,Summe Transport für 1.6 FU,CO2 Land Transport [g] ,CO2 Sea Transport [g] ,CO2 Air Transport [g],Food Unit ,Energy [kcal] ,kcal für 1.6FU,Gewicht für 1.6 FU,Name FR
fish & seafood,Wolfsbarsch,Sea ,1324,413.87,360,172,27.8,26.06,0,0.5,104,333,320,Bar
fish & seafood,Pangasius,Shark catfish,8658,1839.87,1786,254,27.8,26.06,0,0.34,65.68,309,471,Pangasius
fish & seafood,Muscheln,Shellfish,2169,338.87,285,345,27.8,26.06,0,0.25,38.37,246,640,Moules
fish & seafood,Garnelen,Shrimp,5461,1023.87,970,287,27.8,26.06,0,0.3,56.37,301,533,Crevettes
fish & seafood,Tilapia,Tilapia,1409,413.87,360,183,27.8,26.06,0,0.47,101.27,345,340,Tilapia
fish & seafood,Thunfisch,Tuna,1035,413.87,360,135,27.8,26.06,0,0.64,149.76,374,250,Thon
fish & seafood,Felchen,Whitefish,535,163.87,110,176,27.8,26.06,0,0.49,101.75,332,327,Merlan
fruits & berries,Früchte und Beeren,AA Fruits & berries,,0.00,,,,,,,,,,Fruits et baies
fruits & berries,Äpfel,Apple,323,22.19,20,32,2.2,0,0,0.11,55.45,807,1455,Pommes
fruits & berries,Aprikosen,Apricots,295,20.30,14,92,6.3,0,0,0.11,48.76,709,1455,Abricots
fruits & berries,Bananen,Bananas,409,40.91,17,239,9.4,14.5,0,0.16,96.32,963,1000,Bananes
fruits & berries,Brombeeren,Blackberries,643,44.19,42,32,2.2,0,0,0.11,44.19,643,1455,Mûres
fruits & berries,Blaubeeren,Blueberries,672,46.19,44,32,2.2,0,0,0.11,50.96,741,1455,Myrtilles
fruits & berries,Kirschen,Cherry,669,58.50,46,143,12.5,0,0,0.14,75,857,1143,Cerises
fruits & berries,Datteln,Dates,1349,177.00,163,107,9.0,5.01,0,0.21,139.49,1063,762,Dattes
fruits & berries,Feigen,Figs,567,49.61,43,76,3.5,3.08,184.71,0.14,75,857,1143,Figues
fruits & berries,Obst,Fruit,323,22.19,20,32,2.2,0,0,0.11,49,713,1455,Fruits
fruits & berries,Grapefruit,Grapefruit,552,31.06,16.5,259,6.8,7.72,0,0.09,30.11,535,1778,Pamplemousse
fruits & berries,Trauben,Grapes,378,30.72,27,46,3.5,0.24,14.33,0.13,67.18,827,1231,Raisins
fruits & berries,Kiwi,Kiwi,821,63.62,46.5,221,8.0,9.08,545.01,0.124,54.73,706,1290,Kiwi
fruits & berries,Zitronen,Lemons,997,56.06,20.3,636,30.4,5.38,0,0.09,22.47,399,1778,Citrons
fruits & berries,Limette,Lime,897,56.06,20.3,572,30.4,5.38,0,0.1,41,656,1600,Lime
fruits & berries,Mango,Mango,430,32.24,11.4,278,10.8,10.08,604.74,0.12,63,840,1333,Mangue
fruits & berries,Melonen,Melon,415,28.50,15,196,12.3,1.17,70.13,0.11,30.38,442,1455,Melons
fruits & berries,Nektarinen,Nectarine,422,29.00,16.5,182,12.5,0,0,0.11,51.15,744,1455,Nectarines
fruits & berries,Orangen,Oranges,626,43.05,16.5,386,26.6,0,0,0.11,44.22,643,1455,Oranges
fruits & berries,Maracuja,Passion fruit,707,75.14,54.3,196,10.8,10.08,604.74,0.17,76,715,941,Fruit de la passion
fruits & berries,Pfirsich,Peach,696,43.50,31,200,12.5,0,0,0.1,48,768,1600,Pêche
fruits & berries,Birnen,Pears,530,36.47,25,167,11.5,0,0,0.11,54.2,788,1455,Poires
fruits & berries,Ananas,Pineapple,416,25.97,11,240,3.1,11.85,710.99,0.1,52.07,833,1600,Ananas
fruits & berries,Pflaumen,Plums,467,32.10,14,263,17.3,0.83,0,0.11,48.76,709,1455,Prunes
fruits & berries,Quitten,Quince,434,27.13,20,114,7.1,0,0,0.1,40.87,654,1600,Coings
fruits & berries,Rosinen,Raisins,415,106.39,93,52,10.9,2.45,0,0.41,300.95,1174,390,Sultanines
fruits & berries,Himbeeren,Raspberries,589,44.19,42,29,2.2,0,0,0.12,51.35,685,1333,Framboises
fruits & berries,Rhabarber,Rhubarb,499,21.19,15,146,6.1,0.06,3.59,0.068,12.19,287,2353,Rhubarbe
fruits & berries,Sternfrucht,Starfruit,1197,67.34,46.5,370,10.8,10.08,604.74,0.09,25,444,1778,Carambole
fruits & berries,Erdbeeren,Strawberries,423,26.44,16,167,10.4,0,0,0.1,38.69,619,1600,Fraises
fruits & berries,Mandarinen,Tangerines,579,47.04,30,210,16.7,0.38,0,0.13,31.05,382,1231,Mandarines
fruits & berries,Wassermelone,Watermelon,456,28.50,15,216,12.3,1.17,70.13,0.1,24.65,394,1600,Pastèque
legumes,Hülsenfrüchte,AA Legumes,,0.00,,,,,,,,,,Légumineuses
legumes,Schwarze Bohnen,Black beans,198,102.73,66,71,27.7,9,0,0.83,367,707,193,Haricots noirs
legumes,Kichererbsen,Chickpeas,228,105.26,76,63,20.8,8.43,0,0.74,327,707,216,Pois chiches
legumes,Grüne Bohnen,Green beans,235,102.73,66,84,27.7,9,0,0.7,252,576,229,Haricots verts
legumes,Kidneybohnen,Kidney beans,219,102.73,66,78,27.7,9,0,0.75,295,629,213,Haricots rouges
legumes,Linsen,Lentils,186,100.98,66,64,23.6,11.38,0,0.87,347,638,184,Lentilles
legumes,Mungbohne,Mung bean,220,27.53,13,116,13.3,1.24,0,0.2,54.93,439,800,Haricot mungo
legumes,Erbsen,Peas,118,55.37,51,9,4.4,0,0,0.75,315,672,213,Pois
legumes,rote Linsen,Red lentils,180,100.98,66,62,23.6,11.38,0,0.9,360,640,178,Lentilles rouges
legumes,Soja,Soy,145,112.53,98,19,13.3,1.24,0,1.24,384.54,496,129,Soja
legumes,weisse Bohnen,White beans,216,102.73,66,77,27.7,9,0,0.76,324,682,211,haricots blancs
meat,Fleisch,AA Meat,,0.00,,,,,,,,,,Viande
meat,Bündnerfleisch,Air-dried meat,12404,7287.17,7285,4,2.2,0,0,0.94,192.03,327,170,Viande des Grisons
meat,Speck,Bacon,896,604.95,603,3,2.0,0,0,1.08,396.48,587,148,Bacon
meat,Rind,Beef,5003,1688.44,1686,7,2.4,0,0,0.54,103.42,306,296,Bœuf
